2167.84574 17.657  0.017
2173.85310 17.720  0.016
2190.79086 17.669  0.016
2192.82504 17.657  0.016
2214.79237 17.702  0.020
2224.74915 17.620  0.016
2226.85328 17.659  0.022
2229.66520 17.642  0.018
2230.80394 17.647  0.017
2232.82377 17.687  0.020
2234.81821 17.649  0.015
2239.60316 17.619  0.020
2241.66469 17.638  0.018
2243.72326 17.685  0.018
2248.80370 17.644  0.015
2250.84955 17.612  0.016
2252.65492 17.675  0.016
2257.64974 17.624  0.014
2261.76977 17.590  0.013
2264.75892 17.642  0.014
2266.64738 17.662  0.020
2270.64348 17.646  0.016
2271.79429 17.641  0.015
2273.74415 17.604  0.018
2275.83120 17.638  0.018
2277.65284 17.647  0.014
2279.82518 17.658  0.017
2281.81203 17.612  0.015
2283.84625 17.649  0.014
2288.75237 17.611  0.016
2290.79075 17.602  0.016
2292.76729 17.635  0.020
2294.74233 17.673  0.025
2296.75272 17.666  0.023
2298.77215 17.666  0.021
2300.72515 17.631  0.021
2302.70297 17.630  0.021
2304.74731 17.612  0.024
2321.67593 17.679  0.018
2327.56249 17.609  0.018
2333.57172 17.673  0.022
2339.54816 17.645  0.020
2357.51941 17.632  0.028
2395.52044 17.649  0.022
2526.91254 17.686  0.018
2542.89090 17.686  0.017
2552.84252 17.675  0.018
2556.83406 17.688  0.017
2559.88462 17.687  0.018
2564.85053 17.688  0.018
2573.84940 17.690  0.020
2578.77372 17.679  0.021
2583.82819 17.685  0.018
2589.86137 17.704  0.017
2596.74472 17.703  0.022
2605.74771 17.720  0.017
2609.74396 17.680  0.020
2610.63255 17.657  0.020
2610.73803 17.685  0.021
2610.84445 17.700  0.022
2611.64466 17.670  0.023
2613.62585 17.727  0.023
2613.70368 17.724  0.023
2614.67385 17.644  0.021
2614.75720 17.709  0.021
2614.84881 17.704  0.017
2615.65789 17.655  0.018
2615.78000 17.704  0.016
2615.83773 17.719  0.021
2617.64659 17.697  0.023
2617.74099 17.684  0.020
2617.84945 17.691  0.020
2618.66304 17.728  0.018
2618.75661 17.698  0.017
2619.61985 17.684  0.017
2619.72661 17.686  0.015
2619.85098 17.704  0.017
2620.64977 17.706  0.017
2620.73495 17.712  0.016
2620.85168 17.725  0.018
2621.68384 17.701  0.014
2621.75947 17.693  0.016
2621.85267 17.699  0.016
2622.64975 17.731  0.021
2622.73115 17.678  0.018
2622.85203 17.699  0.016
2623.64846 17.705  0.021
2623.73653 17.683  0.017
2623.84787 17.723  0.016
2624.67905 17.708  0.017
2624.75013 17.706  0.016
2624.84494 17.704  0.018
2625.66405 17.673  0.017
2625.71593 17.702  0.016
2626.63287 17.677  0.020
2627.68857 17.661  0.024
2627.74066 17.682  0.027
2627.81453 17.681  0.024
2628.65740 17.713  0.021
2628.73450 17.687  0.023
2628.80160 17.699  0.018
2629.65317 17.691  0.022
2629.71160 17.704  0.022
2629.76148 17.724  0.020
2629.84126 17.732  0.022
2630.64100 17.671  0.021
2630.72053 17.709  0.020
2631.65248 17.691  0.021
2631.73528 17.737  0.024
2631.84459 17.697  0.024
2632.60844 17.697  0.015
2632.73521 17.674  0.015
2632.81577 17.699  0.017
2634.60724 17.689  0.016
2634.69729 17.716  0.015
2634.83106 17.699  0.020
2635.65747 17.718  0.016
2635.68541 17.683  0.015
2635.73477 17.708  0.015
2635.83774 17.694  0.017
2636.68532 17.698  0.015
2636.76570 17.697  0.018
2636.84540 17.665  0.021
2637.64737 17.699  0.017
2637.72598 17.704  0.016
2637.82907 17.714  0.016
2638.62863 17.718  0.017
2638.65648 17.707  0.016
2638.72956 17.711  0.020
2638.82904 17.700  0.021
2639.60172 17.677  0.015
2639.65661 17.710  0.014
2639.68205 17.705  0.014
2639.83809 17.708  0.016
2640.61066 17.658  0.016
2640.75266 17.722  0.017
2641.61078 17.699  0.017
2641.74718 17.699  0.016
2641.85800 17.698  0.020
2642.60891 17.701  0.016
2642.71070 17.716  0.021
2643.61583 17.683  0.015
2643.75945 17.690  0.016
2644.59846 17.693  0.018
2644.70897 17.700  0.017
2645.61325 17.705  0.085
2645.72061 17.703  0.016
2645.74959 17.696  0.016
2645.85598 17.721  0.028
2646.61837 17.693  0.017
2646.74334 17.704  0.017
2647.61833 17.709  0.018
2647.72815 17.714  0.017
2649.61551 17.703  0.016
